Chromosome/scaffold name,Start (bp),End (bp),Feature type
19,11557400,11561001,Promoter
7,150685000,150688401,Promoter
4,64408801,64409600,Promoter
7,33107400,33110600,Promoter
16,29108800,29109001,Promoter
6,158799200,158799601,Promoter
15,31217800,31218001,Promoter
11,90220000,90224601,Promoter
11,72132600,72133201,Promoter
3,185929800,185930201,Promoter
X,104565800,104567800,Promoter
19,1061801,1062001,Promoter
19,46077400,46077801,Promoter
1,154157800,154158201,Promoter
6,111792800,111793001,Promoter
2,200378000,200380401,Promoter
1,202965200,202969401,Promoter
1,207316200,207316401,Promoter
2,20444600,20451201,Promoter
7,148501400,148502401,Promoter
1,19505400,19505801,Promoter
11,123189800,123190601,Promoter
22,21103000,21103600,Promoter
4,184383400,184384601,Promoter
19,45861800,45867400,Promoter
19,48553600,48553801,Promoter
X,153179200,153180000,Promoter
3,196078400,196083401,Promoter
6,118785600,118786601,Promoter
15,62896400,62896801,Promoter
11,118875600,118877801,Promoter
17,74457000,74457201,Promoter
12,400401,403001,Promoter
3,108296400,108296800,Promoter
X,73212401,73215800,Promoter
10,127195000,127197401,Promoter
8,92964400,92966800,Promoter
8,41545000,41545201,Promoter
10,114238801,114240400,Promoter
3,15857800,15861401,Promoter
22,36335200,36335601,Promoter
15,51617600,51624001,Promoter
20,45404401,45404801,Promoter
5,150150000,150162601,Promoter
6,6723600,6725601,Promoter
17,69227201,69228801,Promoter
10,132516600,132519601,Promoter
1,206578200,206582601,Promoter
3,48432400,48432601,Promoter
9,128550600,128555601,Promoter
7,22725600,22729201,Promoter
1,101234800,101242201,Promoter
16,3146201,3147400,Promoter
7,102420600,102421201,Promoter
1,9123200,9123801,Promoter
5,150447200,150450601,Promoter
10,113126000,113128401,Promoter
19,1897000,1898201,Promoter
2,233386000,233386401,Promoter
19,53224600,53225000,Promoter
12,118374600,118378401,Promoter
17,64498800,64499401,Promoter
6,89084400,89084601,Promoter
1,9237000,9237201,Promoter
17,7010400,7016801,Promoter
15,63494800,63495001,Promoter
3,127755400,127755601,Promoter
18,14430401,14432001,Promoter
9,35094600,35097001,Promoter
X,104074801,104076800,Promoter
1,41917000,41920401,Promoter
18,70490000,70491001,Promoter
20,41157000,41158401,Promoter
17,4709000,4713201,Promoter
5,112417400,112421001,Promoter
14,27671401,27673801,Promoter
11,1896600,1898001,Promoter
19,45153200,45154001,Promoter
17,76203400,76203601,Promoter
5,67003000,67008601,Promoter
16,68287400,68287801,Promoter
19,12643601,12644000,Promoter
1,206925000,206925201,Promoter
1,40034000,40034201,Promoter
X,135031601,135034200,Promoter
11,59222600,59223001,Promoter
13,112586400,112589001,Promoter
3,165206800,165207401,Promoter
10,119205800,119212401,Promoter
5,61304400,61305001,Promoter
7,6396400,6397001,Promoter
1,1959800,1960201,Promoter
1,28913600,28916801,Promoter
14,63759400,63759801,Promoter
9,104925400,104929201,Promoter
11,27505200,27508001,Promoter
20,64036200,64036401,Promoter
5,134369800,134374201,Promoter
